D A T E,KODEX 200,TIGER KOSDAQ150,TIGER S&P500,TIGER SYNTH-EURO STOXX 50(H),ACE Japan Nikkei225(H),TIGER CHINA A300,KOSEF 10YKTB,KBSTAR Credit,TIGER SYNTH-HY(H),KODEX Gold Futures(H),TIGER WTI Futures,KODEX INVERSE,KODEX USD Futures,KODEX USD Futures Inverse,KOSEF Enhanced Cash
10/16/20,-0.0298,-0.0938,0.0216,-0.0292,0.0095,0.0143,0.002,0.0026,0.0039,-0.031,-0.0126,0.0283,-0.0241,0.0244,0.0006
10/19/20,-0.0163,-0.1012,0.0378,-0.0122,0.0111,-0.0027,0.0065,0.0031,0.0017,-0.0233,-0.0296,0.0149,-0.0156,0.0166,0.0006
10/20/20,-0.0094,-0.0959,0.0236,-0.0226,0.0141,-0.0018,0.0053,0.0031,0.0013,-0.0285,-0.0296,0.0065,-0.0175,0.0196,0.0006
10/21/20,0.0022,-0.0633,0.0466,-0.0127,0.0193,0.0088,0.0004,0.0025,0.0017,-0.0204,-0.015,-0.0046,-0.0225,0.0231,0.0007
10/22/20,0.0191,-0.0569,0.0458,-0.0074,0.0095,0.0196,-0.0004,0.0014,0.0065,0.0034,-0.0077,-0.0226,-0.0267,0.0272,0.0007
10/23/20,0.0191,-0.0683,0.0401,-0.0084,0.0151,0.0117,-0.0024,0.0022,0.0104,0.0135,0.0026,-0.02,-0.0253,0.0272,0.0007
10/26/20,0.0366,-0.0525,0.0548,0.0028,0.0161,0.0104,-0.0018,0.0019,0.0139,0.0132,-0.048,-0.0357,-0.0395,0.0402,0.0007
10/27/20,0.0277,-0.0421,0.0486,-0.0141,0.0144,0.0118,-0.0032,0.0019,0.0135,0.0201,-0.048,-0.0276,-0.04,0.0427,0.0007
10/28/20,0.0182,-0.0515,0.015,-0.0464,-0.0029,0.0213,-0.0055,0.0007,0.0069,0.0249,-0.0383,-0.0181,-0.0362,0.0382,0.0006
10/29/20,-0.0018,-0.0468,-0.0146,-0.0709,-0.0113,0.0235,-0.0062,0.0006,-0.0004,-0.0015,-0.0635,-0.0009,-0.0324,0.0319,0.0006
10/30/20,-0.0288,-0.0822,-0.0367,-0.0865,-0.0264,0.0047,-0.008,0.0004,-0.0013,-0.0096,-0.1041,0.0264,-0.0309,0.0304,0.0006
11/2/20,-0.014,-0.0679,-0.027,-0.0833,-0.0203,0.0207,-0.0127,-0.0005,0.0048,-0.0015,-0.1142,0.0109,-0.0304,0.0309,0.0007
11/3/20,0.0056,-0.0487,-0.0124,-0.0543,-0.0203,0.0226,-0.0128,-0.0005,0.0061,0.0031,-0.0685,-0.0091,-0.0309,0.0289,0.0007
11/4/20,0.0119,-0.0298,0.0074,-0.0405,0.0006,0.0291,-0.0099,0,0.0069,0.0081,-0.0355,-0.0155,-0.0285,0.0279,0.0008
11/5/20,0.0229,-0.0232,0.0279,-0.0134,0.0352,0.0543,-0.0032,0.0014,0.0121,0.0061,-0.0026,-0.0249,-0.0296,0.0287,0.0008
11/6/20,0.0232,-0.0382,0.0227,-0.0092,0.0341,0.0312,-0.0022,0.0012,0.0178,0.0121,-0.0436,-0.0259,-0.0341,0.0358,0.0009
11/9/20,0.0258,-0.0309,0.0355,0.0064,0.0483,0.0584,-0.0008,0.0011,0.0069,0.0353,-0.0356,-0.0262,-0.0343,0.036,0.0006
11/10/20,0.0257,-0.0499,0.0259,0.0479,0.0487,0.0371,-0.0055,0.0009,0.018,-0.0069,-0.0204,-0.0262,-0.0333,0.0355,0.0007
11/11/20,0.0422,-0.0443,0.0347,0.0598,0.0693,0.0259,-0.008,0.0009,0.0197,-0.0077,0.0127,-0.0421,-0.0377,0.039,0.0007
11/12/20,0.033,-0.0511,0.0158,0.0499,0.0763,0.0018,-0.0068,0.0021,0.0154,-0.036,0.0051,-0.0366,-0.0266,0.0299,0.0006
11/13/20,0.043,-0.04,0.001,0.0393,0.0723,-0.0195,-0.0065,0.0011,0.0102,-0.0245,-0.0026,-0.046,-0.0276,0.0284,0.0007
11/16/20,0.0903,0.0173,0.0387,0.0727,0.0986,0.0036,-0.011,0.0012,0.0167,-0.0114,0,-0.0881,-0.0325,0.0338,0.0005
11/17/20,0.09,0.0051,0.0362,0.0782,0.108,-0.0032,-0.0108,0.0016,0.0154,-0.0129,0.0128,-0.0872,-0.036,0.0343,0.0006
11/18/20,0.0888,0.0196,0.0305,0.075,0.0866,0.0068,-0.0086,0.002,0.0193,-0.0175,0.0051,-0.0862,-0.0365,0.0368,0.0005
11/19/20,0.0878,0.0464,0.0217,0.0604,0.0789,0.0164,-0.012,0.002,0.021,-0.0299,0.0025,-0.0846,-0.0223,0.0238,0.0006
11/20/20,0.0813,0.0524,0.0338,0.0716,0.0783,0.0219,-0.011,0.0017,0.0227,-0.0217,0.0025,-0.0779,-0.0213,0.0207,0.0005
11/23/20,0.1061,0.0846,0.0352,0.097,0.0876,0.0498,-0.0064,0.0024,0.0215,-0.0183,0.0283,-0.1019,-0.0199,0.0196,0.0004
11/24/20,0.1122,0.0733,0.0459,0.0966,0.1096,0.0378,-0.0083,0.0019,0.0245,-0.0438,0.0387,-0.1065,-0.0194,0.0187,0.0003
11/25/20,0.1057,0.0729,0.0559,0.1064,0.121,0.0254,-0.0103,0.0022,0.0284,-0.0545,0.0644,-0.0991,-0.0219,0.0216,0.0002
11/26/20,0.1188,0.1305,0.06,0.1044,0.123,0.0407,-0.0132,0.0017,0.0223,-0.0485,0.1088,-0.1109,-0.0196,0.0205,0.0003
11/27/20,0.131,0.134,0.0641,0.1243,0.1274,0.0453,-0.0112,0.002,0.0201,-0.0558,0.0928,-0.121,-0.0186,0.0171,0.0002
11/30/20,0.1508,0.1204,0.114,0.2076,0.143,0.0477,-0.0085,0.0023,0.0299,-0.0532,0.1615,-0.1341,-0.0229,0.0251,0.0002
12/1/20,0.169,0.1307,0.1281,0.1894,0.1615,0.0721,-0.0075,0.0026,0.0333,-0.0466,0.1643,-0.1483,-0.0229,0.0236,0.0002
12/2/20,0.1716,0.1279,0.1164,0.1862,0.1556,0.059,-0.0049,0.0036,0.0318,-0.0405,0.1633,-0.1506,-0.0289,0.0295,0.0001
12/3/20,0.1568,0.1225,0.1039,0.1557,0.1559,0.0368,-0.005,0.0038,0.0284,-0.0322,0.1226,-0.1398,-0.0324,0.0399,0.0002
12/4/20,0.1702,0.1225,0.0837,0.1329,0.1292,0.0292,-0.0063,0.0033,0.0283,-0.0344,0.0974,-0.1491,-0.0463,0.0518,0.0001
12/7/20,0.1484,0.1635,0.0589,0.1061,0.0969,0.0149,-0.0064,0.0035,0.02,-0.0528,0.118,-0.1312,-0.0343,0.035,0.0002
12/8/20,0.1301,0.1195,0.0573,0.1057,0.084,0.0136,-0.0053,0.0041,0.0213,-0.039,0.1046,-0.1169,-0.0313,0.0326,0.0002
12/9/20,0.1418,0.1129,0.0435,0.0869,0.0787,-0.0223,-0.0063,0.0041,0.0251,-0.0515,0.0871,-0.1269,-0.0254,0.0271,0.0002
12/10/20,0.1329,0.1501,0.0418,0.04,0.0778,-0.0165,-0.0008,0.0046,0.0147,-0.0247,0.0753,-0.1202,-0.0238,0.0242,0.0002
