,0
KODEX 200,0.10819603283173736
TIGER KOSDAQ150,0.07761176470588237
TIGER S&P500,0.11464883720930233
TIGER SYNTH-EURO STOXX 50(H),0.10467578659370726
ACE Japan Nikkei225(H),0.12311682626538986
TIGER CHINA A300,0.038252530779753775
KOSEF 10YKTB,-0.03552325581395349
KBSTAR Credit,0.002078248974008206
TIGER SYNTH-HY(H),0.01965512995896033
KODEX Gold Futures(H),0.014413269493844047
TIGER WTI Futures,0.30644021887824896
KODEX INVERSE,-0.05856306429548566
KODEX USD Futures,0.0462311901504788
KODEX USD Futures Inverse,-0.0373406292749658
KOSEF Enhanced Cash,0.012964432284541725
