,0
KODEX 200,0.3083155798286262
TIGER KOSDAQ150,0.2730746431621113
TIGER S&P500,0.2032134170231757
TIGER SYNTH-EURO STOXX 50(H),0.18051231400876294
ACE Japan Nikkei225(H),0.17466642934006169
TIGER CHINA A300,0.1978004453878736
KOSEF 10YKTB,0.043049579328305394
KBSTAR Credit,0.025945295035207337
TIGER SYNTH-HY(H),0.06471106115631423
KODEX Gold Futures(H),0.08734339238627237
TIGER WTI Futures,0.47400755369041164
KODEX INVERSE,0.2512544168840578
KODEX USD Futures,0.08143136170835837
KODEX USD Futures Inverse,0.07253392501793612
KOSEF Enhanced Cash,0.00940159817654148
